URL,Ignored (Yes/No),Tag status
www.avito.ma/fr/maroc/maisons_et_villas/piscine--à_vendre,No,Not tagged
www.avito.ma/adminapp/stores/6549/details,No,Not tagged
www.avito.ma/adminapp/stores/6273/details,No,Not tagged
www.avito.ma/fr/maroc/qashqai_2008_8ch--à_vendre,No,Not tagged
www.avito.ma/adminapp/stores/4996/details,No,Not tagged
www.avito.ma/fr/maroc/matériels_professionnels/armoire_bureautique--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/nanette_xbox_360--à_vendre,No,Not tagged
www.avito.ma/fr/el_jadida/maisons_et_villas/منزل_للرهن,No,Not tagged
www.avito.ma/adminapp/stores/2629/details,No,Not tagged
www.avito.ma/auto/neuf/peugeot/508-sw/,No,Not tagged
www.avito.ma/fr/maroc/voitures/alfa_147--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/tog_bag,No,Not tagged
www.avito.ma/ar/وسط_المدينة/معدات_رياضية/Planche_de_surf_Tribord__55205974.htm,No,Not tagged
www.avito.ma/fr/maroc/cantir_fiso--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/قيدية--à_vendre,No,Not tagged
www.avito.ma/auto/neuf/nissan/micra/,No,Not tagged
www.avito.ma/fr/fès/austin_gtr_125--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/fond_de_commerce_à_vendre--à_vendre,No,Not tagged
www.avito.ma/fr/saies/voitures_d'occasion/Dacia_Duster_Diesel_Manuelle_2017_à_Fès_53621442.htm,No,Not tagged
www.avito.ma/fr/azemmour/iphone_7_normal--à_vendre,No,Not tagged
www.avito.ma/adminapp/admng/search,No,Not tagged
www.avito.ma/fr/casablanca/pour_la_maision_et_jardin/bureau_mdf--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/bipeur_client--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/ventes_immobilieres/errahma--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/tablet_pen--à_vendre,No,Not tagged
www.avito.ma/auto/neuf/peugeot/208/,No,Not tagged
www.avito.ma/fr/la_prairie/locations_de_vacances/appartements_et_Chalets_à_louer_à_ifrane__41286680.htm,No,Not tagged
www.avito.ma/adminapp/stores/5451/details,No,Not tagged
www.avito.ma/adminapp/stores/5871/details,No,Not tagged
www.avito.ma/fr/temara/maisons_et_villas-à_louer,No,Not tagged
www.avito.ma/adminapp/stores/4105/details,No,Not tagged
www.avito.ma/fr/maroc/voitures_d_occasion/208_carnet_maison--à_vendre,No,Not tagged
www.avito.ma/fr/meknès/motos-à_vendre,No,Not tagged
www.avito.ma/adminapp/login,No,Not tagged
www.avito.ma/fr/la_ville_haute/appareils_photo_et_caméras/Canon_18_135_nano_54007751.htm,No,Not tagged
www.avito.ma/adminapp/stores/5200/details,No,Not tagged
immoneuf.avito.ma/,No,Not tagged
www.avito.ma/fr/casablanca/locations_immobilieres/bachkou--à_louer,No,Not tagged
www.avito.ma/auto/neuf/opel/corsa/,No,Not tagged
www.avito.ma/fr/maroc/ouarzazate,No,Not tagged
